numero,plano_vida,Comprometimento,Desafio_a_superar,recompensa_realização
1,"Ação e Autossuficiência","Comprometer-se a iniciar, ser o líder da própria vida e agir de forma independente.","Inércia, dependência e o medo de ir contra a opinião alheia.","A autoconfiança inabalável e a satisfação de criar caminhos originais."
2,"União e Diplomacia,","Comprometer-se com a cooperação, o tato e a busca por harmonia e equilíbrio em todas as parcerias.","Hipersensibilidade, timidez, passividade e o medo do confronto.","Relacionamentos profundos, a paz e o reconhecimento como diplomata."
3,"Expressão e Alegria","Comprometer-se com a comunicação criativa, o otimismo e a liberdade de expressar plenamente seu carisma.","Dispersão, superficialidade e tendência a fofocas ou drama.","Uma vida social vibrante, alegria autêntica e a capacidade de inspirar."
4,"Estrutura e Trabalho","Comprometer-se com a disciplina, a organização e a construção de bases sólidas (estrutura e segurança).","Rigidez, teimosia, pessimismo e a tendência ao excesso de trabalho.","Estabilidade material, credibilidade e a satisfação de construir algo duradouro."
5,"Liberdade e Mudança","Comprometer-se com a adaptabilidade, a experimentação e o uso responsável da liberdade para explorar e aprender.","Impulsividade, falta de foco e o medo de compromisso.","Uma vida cheia de movimento e entusiasmo, e uma mente aberta e flexível."
6,"Harmonia e Cuidado","Comprometer-se com a responsabilidade afetiva, o serviço e a busca pela harmonia e beleza no lar.","Interferência, vitimização e o auto-sacrifício excessivo.","Um lar harmonioso, relacionamentos familiares satisfatórios e a sensação de plenitude ao servir."
7,"Introspecção e Fé","Comprometer-se com o autoconhecimento, o estudo, a introspecção e o desenvolvimento da fé e da intuição.","Isolamento, ceticismo excessivo e perfeccionismo intelectual.","Sabedoria, profunda paz interior e o reconhecimento como um mentor ou especialista."
8,"Poder e Justiça","Comprometer-se com a autoridade ética, o sucesso material e a administração justa dos recursos e do poder.","Ambição desmedida, materialismo e dificuldade em lidar com perdas.","Abundância, reconhecimento profissional e a capacidade de transformar a realidade."
9,"Altruísmo e Fim de Ciclos","Comprometer-se com o serviço humanitário, a tolerância e o desapego para encerrar o que não serve mais.","Frustração, tendência ao isolamento e dificuldade em perdoar e aceitar.","Realização emocional, sabedoria e a profunda sensação de contribuição universal."
11,"Inspiração Mestra","Comprometer-se a canalizar a intuição e a usar a sensibilidade para inspirar e guiar os outros.","Tensão nervosa, hipersensibilidade extrema e fuga da realidade prática.","Ser um farol de inspiração, um curador e um catalisador de mudança social."
22,"Construção Mestra","Comprometer-se a materializar grandes visões e a construir legados de utilidade global.","Megalomania, excesso de pragmatismo e medo de falhar em projetos ambiciosos.","A capacidade de deixar um legado significativo e impactar a humanidade em grande escala."
